                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9269,                 4.0582,                 4.5219,                 3.4621,                 7.2099,                 4.5839,                0.00067,                    0.2,                0.00043,                  4e-05,                 2.3174,                 4.1947,                 4.1583,                 2.1832,                 8.7689,                 4.1582,                  2e-05,                  2e-05,                  2e-05
                      2,                 4.1762,                 4.0211,                 4.6461,                  4.015,                 7.1265,                 4.6067,                0.00067,                    0.2,                0.00044,                  4e-05,                 2.3168,                 4.1958,                 4.1577,                  2.182,                  8.769,                 4.1573,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 4.1523,                 3.7801,                 4.4415,                 3.7652,                 6.3907,                 4.2616,                0.00067,                    0.2,                0.00044,                  4e-05,                 2.3162,                 4.1968,                  4.157,                 2.1808,                 8.7675,                 4.1565,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 4.2246,                 3.6121,                  4.359,                  4.022,                  6.784,                 4.4513,                0.00067,                    0.2,                0.00044,                  4e-05,                 2.3159,                  4.198,                 4.1563,                 2.1797,                 8.7635,                 4.1556,             0.00013584,             0.00013584,             0.00013584
                      5,                 3.3444,                 3.7367,                 4.4652,                 3.3811,                 7.2946,                 4.3347,                0.00067,                    0.2,                0.00044,                  4e-05,                  2.316,                 4.1996,                 4.1557,                 2.1791,                 8.7612,                 4.1548,             0.00017287,             0.00017287,             0.00017287
                      6,                 4.0377,                 3.6075,                 4.3007,                 4.0253,                 6.7381,                 4.3979,                0.00067,                    0.2,                0.00043,                  4e-05,                 2.3164,                 4.2015,                 4.1551,                 2.1787,                  8.758,                 4.1539,             0.00020911,             0.00020911,             0.00020911
                      7,                 3.4472,                 3.3884,                 4.4328,                 2.9888,                 6.2401,                 4.3716,                0.00067,                    0.2,                0.00043,                  4e-05,                 2.3169,                 4.2035,                 4.1546,                 2.1787,                 8.7533,                 4.1532,             0.00024456,             0.00024456,             0.00024456
                      8,                 3.5042,                 4.1048,                 4.2464,                 3.1861,                 6.7751,                  4.268,                0.00067,                    0.2,                0.00043,                  4e-05,                 2.3176,                 4.2053,                 4.1543,                 2.1791,                 8.7479,                 4.1527,             0.00027921,             0.00027921,             0.00027921
                      9,                 3.1294,                 2.8761,                 4.1827,                 2.8666,                 4.9788,                 4.2452,                0.00067,                    0.2,                0.00043,                  4e-05,                 2.3185,                 4.2072,                 4.1541,                 2.1802,                  8.741,                 4.1523,             0.00031307,             0.00031307,             0.00031307
                     10,                 3.0877,                 2.9561,                 4.3431,                 2.6004,                 5.0845,                 4.1423,                0.00067,                    0.2,                0.00044,                  4e-05,                 2.3197,                 4.2088,                 4.1543,                 2.1817,                 8.7315,                 4.1521,             0.00034614,             0.00034614,             0.00034614
                     11,                 3.3626,                 3.0314,                 4.2927,                 2.7205,                 5.6889,                 4.2796,                0.00067,                    0.2,                0.00044,                  4e-05,                 2.3215,                 4.2104,                 4.1549,                 2.1839,                 8.7189,                 4.1522,             0.00037842,             0.00037842,             0.00037842
                     12,                 2.9921,                 2.9544,                 4.0937,                 2.6229,                 4.8632,                 4.1443,                0.00067,                    0.2,                0.00044,                  4e-05,                 2.3215,                 4.2104,                 4.1549,                 2.1839,                 8.7189,                 4.1522,             0.00040991,             0.00040991,             0.00040991
                     13,                 3.4581,                 3.3664,                 4.0675,                 2.6663,                 5.8666,                  4.174,                0.00067,                    0.2,                0.00044,                  4e-05,                 2.3248,                 4.2123,                  4.156,                 2.1879,                 8.7019,                 4.1526,              0.0004406,              0.0004406,              0.0004406
                     14,                 3.6132,                 2.8244,                 3.9255,                  3.281,                 4.7686,                 3.9512,                0.00067,                    0.2,                0.00043,                  4e-05,                 2.3294,                 4.2138,                 4.1578,                 2.1942,                 8.6812,                 4.1542,              0.0004705,              0.0004705,              0.0004705
                     15,                 4.0852,                 3.2651,                 4.1567,                 3.3787,                 5.3641,                 3.9139,                0.00067,                    0.2,                0.00043,                  4e-05,                 2.3294,                 4.2138,                 4.1578,                 2.1942,                 8.6812,                 4.1542,             0.00049961,             0.00049961,             0.00049961
                     16,                 4.2708,                 5.7211,                 4.7405,                 1.8188,                 6.3738,                 2.8342,                0.00067,                    0.2,                0.00042,                  4e-05,                 2.3337,                  4.215,                 4.1603,                 2.2014,                 8.6572,                 4.1567,             0.00052793,             0.00052793,             0.00052793
