                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1979,                 4.3211,                 4.3353,                 3.9573,                 9.0262,                 4.3782,                0.00026,                0.07317,                0.00014,                  3e-05,                 3.8965,                 4.4965,                  4.159,                 3.7921,                 11.455,                 4.1725,              0.0032955,              0.0032955,              0.0032955
                      2,                  4.009,                 3.9954,                 4.1943,                 3.6041,                 6.9222,                 4.0607,                0.00094,                0.26829,                0.00161,                0.00026,                 3.5006,                 4.4031,                 4.1062,                 3.1156,                 7.6239,                 3.9015,              0.0066157,              0.0066157,              0.0066157
                      3,                 3.2625,                 3.3329,                  3.572,                 2.6757,                   4.76,                 3.1322,                0.25236,                 0.0061,                0.01109,                0.00197,                 3.2338,                 19.857,                 4.8952,                 3.0987,                  4.646,                 5.9008,              0.0099227,              0.0099227,              0.0099227
                      4,                 2.8351,                  2.736,                 2.9384,                 2.4033,                  3.243,                 2.6305,                 0.2767,                0.10499,                0.16155,                0.04145,                  2.652,                 2.8781,                 3.3241,                 2.2551,                 3.3979,                  2.915,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.5454,                 2.0808,                 2.6426,                 2.3344,                 2.4078,                 2.4754,                0.40002,                0.54268,                0.38629,                0.11912,                 2.2245,                 4.2414,                 2.6994,                 2.2199,                  5.115,                 2.9926,              0.0099406,              0.0099406,              0.0099406
                      6,                 2.3596,                  1.736,                 2.4348,                 2.2771,                  2.051,                 2.3581,                0.56086,                0.60745,                 0.5307,                0.16111,                 2.1009,                 1.6334,                 2.5868,                 2.2365,                 1.8855,                  2.801,              0.0099208,              0.0099208,              0.0099208
                      7,                 2.2295,                 1.4773,                 2.3122,                 2.1805,                 1.7688,                 2.2713,                0.66378,                0.64024,                0.66013,                0.24263,                 2.0756,                 1.8433,                 2.5074,                 2.0908,                 2.0011,                 2.6124,               0.009901,               0.009901,               0.009901
                      8,                 2.1332,                 1.3901,                 2.2445,                 2.1129,                 1.7322,                 2.2196,                0.67066,                0.66463,                0.72651,                0.25829,                 2.1222,                 1.2148,                  2.464,                 2.1663,                  1.417,                 2.4658,              0.0098812,              0.0098812,              0.0098812
                      9,                 2.0556,                 1.2746,                 2.1583,                 2.0672,                 1.5773,                   2.14,                0.66474,                0.71332,                0.77509,                0.31861,                  1.939,                 1.1477,                 2.3807,                 1.9199,                 1.3863,                 2.4127,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.9918,                 1.2309,                 2.1074,                 2.0351,                 1.4503,                 2.1361,                0.63519,                0.78049,                0.74594,                0.33652,                 1.9027,                 1.1676,                 2.3431,                 1.8029,                 1.3755,                 2.3219,              0.0098416,              0.0098416,              0.0098416
